enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Trehalose_Biosynthesis	Carbohydrates	Di- and oligosaccharides	0	0	0	0	0	0	0.0160806174957118	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	Cellulosome	Carbohydrates	Polysaccharides	0.0046628741956542	1	0.0126055716626749	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0042025635637739	1	0	0	0	0	0.14052838673412	5	0	0	0	0	0	0	0.0121377636170536	4	0	0	0	0	0	0	0	0	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0163835945606466	3	0	0	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	Menaquinone_and_Phylloquinone_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	0	0	0	0	0	0.0214408233276158	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303444090426339	1	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	Phosphate_metabolism	""	Phosphorus Metabolism	0.0093257483913084	2	0.00630278583133745	1	0.0156339569545052	3	0.0428816466552316	8	0.0221729490022173	2	0.029708853238265	1	0.0319081046585833	6	0	0	0.0042025635637739	1	0.00367782272894447	1	0	0	0	0	0	0	0	0	0	0	0.00606888180852678	2	0	0	0	0	0.00447647611799991	1	0.00347101700798334	1	0	0	0	0	0	0	0.00676086809546346	1	0.0232201736868992	5	0.0139470013947001	3	0	0	0.0267594327000268	1	0.00925925925925926	1	0.0163835945606466	3	0.00760649087221095	3	0	0
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	CBSS-83331.1.peg.3039	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	0	0	0.0567250724820371	9	0	0	0.0482418524871355	9	0.0110864745011087	1	0	0	0.0265900872154861	5	0	0	0	0	0.00367782272894447	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0244578509701614	6	0	0	0.00347101700798334	1	0	0	0	0	0	0	0.00676086809546346	1	0	0	0.00464900046490005	1	0	0	0	0	0	0	0	0	0.0354969574036511	14	0	0
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	Pyridoxin_(Vitamin_B6)_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	0	0	0.0126055716626749	2	0	0	0.0107204116638079	2	0.0221729490022173	2	0	0	0.0425441395447777	8	0	0	0.0084051271275478	2	0.0110334681868334	3	0.0344887049491292	2	0	0	0	0	0	0	0	0	0.0303444090426339	10	0.00921616515367955	2	0.0529920104353498	13	0	0	0	0	0.0346560388147635	2	0.00483418737310258	1	0.0197384653343203	4	0.0135217361909269	2	0.00464403473737984	1	0.00464900046490005	1	0.0141542816702052	1	0	0	0	0	0.0163835945606466	3	0.0126774847870183	5	0.0133226751931788	2
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	CBSS-83331.1.peg.3039	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	0.0186514967826168	4	0.0252111433253498	4	0	0	0.0268010291595197	5	0.0221729490022173	2	0	0	0.0106360348861944	2	0	0	0.0168102542550956	4	0	0	0.0517330574236937	3	0	0	0.0438981562774363	3	0	0	0	0	0.0728265817023213	24	0.00460808257683978	1	0.0163052339801076	4	0	0	0.0173550850399167	5	0.0173280194073817	1	0	0	0.00493461633358006	1	0.0202826042863904	3	0.00464403473737984	1	0.00464900046490005	1	0	0	0	0	0	0	0.0054611981868822	1	0.0481744421906694	19	0	0
1-phosphofructokinase (EC 2.7.1.56)	Fructose_utilization	Carbohydrates	Monosaccharides	0	0	0.0882390016387243	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0.0296076980014804	6	0	0	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0133226751931788	2
12-oxophytodienoate reductase (OPR3)(DDE1)	Octadecanoids	Secondary Metabolism	Plant Octadecanoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257447591026113	7	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16 kDa heat shock protein A	Mediator_of_hyperadherence_YidE_in_Enterobacteria_and_its_conserved_region	Virulence, Disease and Defense	Adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0.0106360348861944	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00606888180852678	2	0	0	0.0040763084950269	1	0	0	0.00347101700798334	1	0	0	0	0	0	0	0	0	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0.0177484787018256	7	0	0
16S rRNA processing protein RimM	Ribosome_biogenesis_bacterial	Protein Metabolism	Protein biosynthesis	0	0	0	0	0.0156339569545052	3	0.00536020583190395	1	0.0997782705099778	9	0	0	0.0319081046585833	6	0	0	0.0084051271275478	2	0	0	0	0	0	0	0.0146327187591455	1	0.00345960906417575	1	0	0	0.0212410863298437	7	0	0	0.0285341594651883	7	0	0	0.01041305102395	3	0	0	0.00483418737310258	1	0.00986923266716013	2	0.00676086809546346	1	0	0	0.00929800092980009	2	0.0141542816702052	1	0	0	0	0	0	0	0	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	Purine_conversions	Nucleosides and Nucleotides	Purines	0	0	0	0	0.0104226379696701	2	0.00536020583190395	1	0	0	0	0	0.0531801744309721	10	0	0	0	0	0.00367782272894447	1	0	0	0	0	0	0	0	0	0	0	0.00303444090426339	1	0.00460808257683978	1	0.0040763084950269	1	0	0	0	0	0	0	0.00483418737310258	1	0.00493461633358006	1	0.00676086809546346	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
2'-5' RNA ligase	RNA_processing_orphans	RNA Metabolism	RNA processing and modification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346560388147635	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0.0107204116638079	2	0	0	0	0	0	0	0	0	0.0084051271275478	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00303444090426339	1	0.00921616515367955	2	0.0040763084950269	1	0	0	0.00694203401596668	2	0	0	0	0	0.00493461633358006	1	0	0	0.00464403473737984	1	0	0	0	0	0	0	0.0277777777777778	3	0	0	0.00760649087221095	3	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0.0046628741956542	1	0	0	0.00521131898483506	1	0.00536020583190395	1	0	0	0	0	0.0106360348861944	2	0	0	0	0	0.00367782272894447	1	0	0	0	0	0	0	0	0	0.0418760469011725	2	0.0182066454255803	6	0.0184323303073591	4	0.0040763084950269	1	0.00447647611799991	1	0	0	0	0	0	0	0	0	0.00676086809546346	1	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0.0126774847870183	5	0.033306687982947	5
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0.00521131898483506	1	0	0	0	0	0	0	0	0	0.384789497510186	34	0	0	0.00367782272894447	1	0	0	0	0	0	0	0	0	0	0	0.0303444090426339	10	0.00460808257683978	1	0.0570683189303767	14	0.00447647611799991	1	0.00694203401596668	2	0.0173280194073817	1	0	0	0	0	0	0	0.00928806947475967	2	0.00464900046490005	1	0.0707714083510262	5	0	0	0	0	0.0163835945606466	3	0.00760649087221095	3	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Glycolysis_and_Gluconeogenesis	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0.00531801744309721	1	0	0	0.0084051271275478	2	0	0	0	0	0.0281056773468241	1	0	0	0.0069192181283515	2	0.0209380234505863	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00966837474620516	2	0	0	0.0135217361909269	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	Carbohydrates	Central carbohydrate metabolism	0	0	0.0378167149880247	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00986923266716013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303444090426339	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	Acetoin,_butanediol_metabolism	Carbohydrates	Fermentation	0	0	0	0	0.00521131898483506	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00447647611799991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	Methionine_Salvage	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0.00531801744309721	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)	Anaerobic_Oxidative_Degradation_of_L-Ornithine	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	0	0	0	0	0	0	0	0	0	0.00531801744309721	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	Fatty_acid_degradation_regulons	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	0	0	0.00630278583133745	1	0.00521131898483506	1	0	0	0	0	0	0	0.00531801744309721	1	0.0113173381620643	1	0	0	0.0294225818315557	8	0	0	0	0	0.0146327187591455	1	0	0	0	0	0.0394477317554241	13	0	0	0.040763084950269	10	0	0	0	0	0	0	0	0	0	0	0.00676086809546346	1	0	0	0.00929800092980009	2	0	0	0	0	0	0	0	0	0.0050709939148073	2	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	Aromatic_amino_acid_degradation	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146327187591455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185761389495193	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0.0221729490022173	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	Isoprenoid_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0.0189083574940124	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438981562774363	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050709939148073	2	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Isoprenoid_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0.113450144964074	18	0	0	0	0	0	0	0	0	0	0	0.0565866908103214	5	0.0042025635637739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00815261699005381	2	0	0	0.00347101700798334	1	0	0	0	0	0.00986923266716013	2	0.0202826042863904	3	0	0	0.00464900046490005	1	0	0	0	0	0.0277777777777778	3	0	0	0	0	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	Gram-Positive cell wall components	0	0	0	0	0	0	0	0	0.0110864745011087	1	0.05941770647653	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00966837474620516	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	KDO2-Lipid_A_biosynthesis	Cell Wall and Capsule	Gram-Negative cell wall components	0	0	0	0	0	0	0	0	0.0110864745011087	1	0	0	0	0	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00815261699005381	2	0.00447647611799991	1	0.00694203401596668	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267594327000268	1	0	0	0	0	0.0126774847870183	5	0	0
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00815261699005381	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Methylcitrate dehydratase AcnD	2-methylcitrate_to_2-methylaconitate_metabolism_cluster	Carbohydrates	Organic acids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxobutyrate oxidase, putative	Methionine_Degradation	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0.00536020583190395	1	0.0110864745011087	1	0.029708853238265	1	0	0	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694203401596668	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0141542816702052	1	0	0	0	0	0	0	0	0	0	0
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0517330574236937	3	0.0562113546936481	2	0	0	0	0	0	0	0.00910332271279017	3	0	0	0	0	0	0	0.00694203401596668	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535188654000535	2	0	0	0	0	0	0	0	0
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	Glycine_Biosynthesis	Amino Acids and Derivatives	Alanine, serine, and glycine	0	0	0.00630278583133745	1	0.0104226379696701	2	0.0268010291595197	5	0.0443458980044346	4	0.029708853238265	1	0.0212720697723889	4	0	0	0.0210128178188695	5	0	0	0.0172443524745646	1	0.0281056773468241	1	0	0	0	0	0	0	0.0303444090426339	10	0.00921616515367955	2	0.00815261699005381	2	0.00895295223599982	2	0.0347101700798334	10	0	0	0.00966837474620516	2	0.0592153960029608	12	0.0270434723818538	4	0.171829285283054	37	0.0139470013947001	3	0	0	0	0	0	0	0.0109223963737644	2	0.0152129817444219	6	0.0199840127897682	3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Folate_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209380234505863	1	0	0	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00464403473737984	1	0	0	0.0141542816702052	1	0	0	0	0	0.0109223963737644	2	0	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Pterin_metabolism_3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00986923266716013	2	0	0	0	0	0	0	0	0	0	0	0.00925925925925926	1	0	0	0	0	0	0
2-amino-4-ketopentanoate thiolase, alpha subunit	Anaerobic_Oxidative_Degradation_of_L-Ornithine	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
