Species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
1-aminocyclopropane-1-carboxylate deaminase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0.00679890537623443	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
1-deoxy-D-xylulose-5-phosphate reductoisomerase	0	0	0.0317729294640966	9	0	0	0.0200615220008025	9	0.00106262020891113	1	0	0	0.0190215323746481	5	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114474105957232	5	0	0	0.00280324054607126	1	0	0	0	0	0	0	0.00420486081910689	1	0	0	0.00260375982919336	1	0	0	0.0205592105263158	1	0	0	0	0	0.0226838199552805	14	0	0
1-deoxy-D-xylulose-5-phosphate synthase	0	0	0.00706065099202146	2	0	0	0	0	0.00212524041782227	2	0	0	0.0152172258997185	4	0	0	0.00377886105127914	2	0.00775755068266446	3	0.0101066248926171	2	0	0	0	0	0	0	0	0	0.0207719616285218	11	0.00517330574236937	2	0.0297632675488804	13	0	0	0	0	0	0	0.00374742364624321	1	0.00849863172029303	5	0.00840972163821378	2	0.00188893086513034	1	0.00260375982919336	1	0.0051062091503268	1	0	0	0	0	0.0143554407120299	3	0.00810136426974303	5	0.00892458723784025	2
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphofructokinase	0	0	0.0564852079361717	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0.011212962184285	4	0	0	0	0	0.0101983580643516	6	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00446229361892013	1
1-pyrroline-5-carboxylate dehydrogenase	0	0	0.0141213019840429	4	0	0	0	0	0.00743834146237793	7	0.00792267469497703	1	0.00380430647492962	1	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0151068811843795	8	0.00258665287118469	1	0	0	0.00587509547030139	2	0.0252291649146413	9	0	0	0.00374742364624321	1	0.00679890537623443	4	0.0126145824573207	3	0.00188893086513034	1	0.00781127948758007	3	0	0	0.0411184210526316	2	0.0301568154402895	5	0	0	0.00486081856184582	3	0	0
12,18-didecarboxysiroheme deacetylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0.00566508044414231	3	0.00258665287118469	1	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0	0	0.0051062091503268	1	0	0	0	0	0	0	0	0	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	0	0	0	0	0	0	0.00668717400026749	3	0	0	0	0	0	0	0.0650230289894338	12	0.00566829157691872	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.0160263748340125	7	0	0	0.00280324054607126	1	0.0273935077386659	2	0	0	0	0	0	0	0.00377786173026067	2	0.00260375982919336	1	0.0051062091503268	1	0	0	0	0	0	0	0	0	0.00446229361892013	1
16S rRNA (cytidine(1402)-2'-O)-methyltransferase	0	0	0	0	0	0	0.0245196380009808	11	0	0	0	0	0	0	0	0	0	0	0.0103434009102193	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114474105957232	5	0	0	0	0	0	0	0	0	0	0	0	0	0.00377786173026067	2	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
16S rRNA (cytosine(1402)-N(4))-methyltransferase	0	0	0	0	0.00292508848392664	1	0.0111452900004458	5	0	0	0	0	0	0	0	0	0.00755772210255829	4	0	0	0.0353731871241599	7	0	0	0	0	0	0	0	0	0.00755344059218974	4	0	0	0.0206053390723018	9	0.0029375477351507	1	0.0168194432764276	6	0	0	0	0	0.00339945268811721	2	0	0	0.017000377786173	9	0.00520751965838671	2	0	0	0.0205592105263158	1	0	0	0	0	0.0113419099776402	7	0.0223114680946006	5
16S rRNA (cytosine(967)-C(5))-methyltransferase	0	0	0	0	0	0	0.00222905800008916	1	0	0	0	0	0	0	0.010837171498239	2	0	0	0	0	0	0	0.0167364016736402	1	0	0	0.00377886105127914	1	0	0	0.00377672029609487	2	0	0	0.00686844635743395	3	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129621828315888	8	0	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	0	0	0	0	0	0	0.0222905800008916	10	0.0031878606267334	3	0.00792267469497703	1	0.00380430647492962	1	0.010837171498239	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188836014804744	10	0	0	0.0045789642382893	2	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0.0060313630880579	1	0	0	0	0	0	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (uracil(1498)-N(3))-methyltransferase	0	0	0.0353032549601073	10	0	0	0.00445811600017833	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0.00587509547030139	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00648109141579442	4	0	0
16S rRNA methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0.00760861294985924	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
16S rRNA processing protein RimM	0	0	0	0	0	0	0	0	0.00425048083564453	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA processing protein RimM, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA pseudouridine(516) synthase	0	0	0	0	0	0	0.00445811600017833	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00679890537623443	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
2'-5' RNA ligase	0	0	0	0	0	0	0	0	0.00425048083564453	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2'-deoxycytidine 5'-triphosphate deaminase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273935077386659	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2'-hydroxyisoflavone reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00541858574911948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0.0196598840066844	2	0.00755344059218974	4	0	0	0.00686844635743395	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0.00484027105517909	1	0	0	0.00292508848392664	1	0.00222905800008916	1	0	0	0	0	0.00760861294985924	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377672029609487	2	0.0103466114847387	4	0	0	0.0029375477351507	1	0	0	0	0	0	0	0	0	0.00420486081910689	1	0.00188893086513034	1	0	0	0	0	0	0	0.0060313630880579	1	0	0	0.00648109141579442	4	0.0223114680946006	5
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0.00484027105517909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	0	0	0.0211819529760644	6	0.00585017696785328	2	0.00222905800008916	1	0	0	0	0	0	0	0.0487672717420753	9	0.00377886105127914	2	0.00258585022755482	1	0	0	0.0167364016736402	1	0	0	0	0	0	0	0.00377672029609487	2	0	0	0.0274737854297358	12	0.00587509547030139	2	0	0	0	0	0	0	0.00339945268811721	2	0.00840972163821378	2	0.00188893086513034	1	0.00260375982919336	1	0.025531045751634	5	0	0	0	0	0.0143554407120299	3	0.00324054570789721	2	0	0
2,3-dehydroadipyl-CoA hydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0.00377886105127914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diaminopropionate biosynthesis protein SbnA	0	0	0	0	0	0	0	0	0	0	0	0	0.00380430647492962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509917903217582	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diaminopropionate biosynthesis protein SbnB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-dihydroxybenzoate-AMP ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
2,3-diketo-5-methylthio-1-phosphopentane phosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509917903217582	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00957029380801991	2	0	0	0	0
2,3-epoxybenzoyl-CoA dihydrolase	0	0	0	0	0	0	0.00222905800008916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-dienoyl-CoA reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101163378856854	1	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
