enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	SRR29355722	SRR29355723	SRR29355724	SRR29355725	SRR29355726	SRR29355727	SRR29355728	SRR29355729	SRR29355730	SRR29355731	SRR29355732	SRR29355733	SRR29355734	SRR29355735	SRR29355736	SRR29355737	SRR29355738	SRR29355739	SRR29355740	SRR29355741	SRR29355742	SRR29355743	SRR29355744	SRR29355745	SRR29355746	SRR29355747	SRR29355748	SRR29355749	SRR29355750	SRR29355751	SRR29355752	SRR29355753
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	CBSS-83331.1.peg.3039	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	0	9	0	9	1	0	5	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	0	1	0	1	0	0	0	0	14	0
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	Pyridoxin_(Vitamin_B6)_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	0	2	0	2	2	0	8	0	2	3	2	0	0	0	0	10	2	13	0	0	2	1	4	2	1	1	1	0	0	3	5	2
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	CBSS-83331.1.peg.3039	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	4	4	0	5	2	0	2	0	4	0	3	0	3	0	0	24	1	4	0	5	1	0	1	3	1	1	0	0	0	1	19	0
1-phosphofructokinase (EC 2.7.1.56)	Fructose_utilization	Carbohydrates	Monosaccharides	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	2
12-oxophytodienoate reductase (OPR3)(DDE1)	Octadecanoids	Secondary Metabolism	Plant Octadecanoids	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16 kDa heat shock protein A	Mediator_of_hyperadherence_YidE_in_Enterobacteria_and_its_conserved_region	Virulence, Disease and Defense	Adhesion	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	7	0
16S rRNA processing protein RimM	Ribosome_biogenesis_bacterial	Protein Metabolism	Protein biosynthesis	0	0	3	1	9	0	6	0	2	0	0	0	1	1	0	7	0	7	0	3	0	1	2	1	0	2	1	0	0	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	Purine_conversions	Nucleosides and Nucleotides	Purines	0	0	2	1	0	0	10	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0
2'-5' RNA ligase	RNA_processing_orphans	RNA Metabolism	RNA processing and modification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	2	0	0	1	0	1	0	0	0	3	0	3	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	1	0	1	1	0	0	2	0	0	1	0	0	0	0	2	6	4	1	1	0	0	0	0	1	1	0	0	0	0	0	5	5
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	1	0	0	0	0	34	0	1	0	0	0	0	0	10	1	14	1	2	1	0	0	0	2	1	5	0	0	3	3	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Glycolysis_and_Gluconeogenesis	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	Carbohydrates	Central carbohydrate metabolism	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	Acetoin,_butanediol_metabolism	Carbohydrates	Fermentation	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	Methionine_Salvage	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)	Anaerobic_Oxidative_Degradation_of_L-Ornithine	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	Fatty_acid_degradation_regulons	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	0	1	1	0	0	0	1	1	0	8	0	0	1	0	0	13	0	10	0	0	0	0	0	1	0	2	0	0	0	0	2	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	Aromatic_amino_acid_degradation	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	Isoprenoid_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Isoprenoid_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	18	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	2	0	1	0	0	2	3	0	1	0	0	3	0	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	Gram-Positive cell wall components	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	KDO2-Lipid_A_biosynthesis	Cell Wall and Capsule	Gram-Negative cell wall components	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	5	0
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein	D-gluconate_and_ketogluconates_metabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Methylcitrate dehydratase AcnD	2-methylcitrate_to_2-methylaconitate_metabolism_cluster	Carbohydrates	Organic acids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxobutyrate oxidase, putative	Methionine_Degradation	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	Glycine_Biosynthesis	Amino Acids and Derivatives	Alanine, serine, and glycine	0	1	2	5	4	1	4	0	5	0	1	1	0	0	0	10	2	2	2	10	0	2	12	4	37	3	0	0	0	2	6	3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Folate_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Pterin_metabolism_3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
2-amino-4-ketopentanoate thiolase, alpha subunit	Anaerobic_Oxidative_Degradation_of_L-Ornithine	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2-amino-4-ketopentanoate thiolase, beta subunit	Anaerobic_Oxidative_Degradation_of_L-Ornithine	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	Phosphonate_metabolism	""	Phosphorus Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2-cys peroxiredoxin BAS1, chloroplast precursor	Phytosterol_biosynthesis	Secondary Metabolism	Biosynthesis of phenylpropanoids	0	0	0	0	0	0	0	0	0	9	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	D-galactonate_catabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	Glycerate_metabolism	Carbohydrates	Organic acids	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	D-Galacturonate_and_D-Glucuronate_Utilization	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	D-Galacturonate_and_D-Glucuronate_Utilization	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	Entner-Doudoroff_Pathway	Carbohydrates	Central carbohydrate metabolism	0	0	1	7	8	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	2	1	0	0	0	1	0	1	0	5	1	0
2-dehydropantoate 2-reductase (EC 1.1.1.169)	CBSS-269801.1.peg.1725	""	Clustering-based subsystems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
2-dehydropantoate 2-reductase (EC 1.1.1.169)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	0	0	0	7	0	0	1	0	1	0	0	0	0	0	0	6	0	3	4	0	0	0	0	0	1	0	0	1	2	0	2	0
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	D-Galacturonate_and_D-Glucuronate_Utilization	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-deoxyglucose-6-phosphate hydrolase YniC	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	CBSS-323850.3.peg.3269	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	2	0	1	55	1	0	0	0	0	0	1	0	0	0	0	6	2	12	0	3	0	1	12	1	2	2	1	1	0	0	10	0
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase related protein	Methionine_Salvage	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Allantoin_Utilization	""	Nitrogen Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	D-galactarate,_D-glucarate_and_D-glycerate_catabolism	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Glycerate_metabolism	Carbohydrates	Organic acids	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	2	0	0	0	0	0	0	1	0	0	0	0	1	0
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0	1	3	0	0	1	0	0	0
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	carbazol_degradation_cluster	""	Metabolism of Aromatic Compounds	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	1
2-hydroxychromene-2-carboxylate isomerase	Naphtalene_and_antracene_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-hydroxycyclohexanecarboxyl-CoA dehydrogenase (EC 1.1.1.-)	Anaerobic_benzoate_metabolism	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-isopropylmalate synthase (EC 2.3.3.13)	Branched-Chain_Amino_Acid_Biosynthesis	Amino Acids and Derivatives	Branched-chain amino acids	2	7	4	5	1	0	4	6	1	1	1	0	2	0	3	10	2	8	2	16	6	1	12	28	1	7	17	7	5	0	20	0
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	1	4	1	4	0	0	6	1	0	2	5	0	0	0	0	2	0	2	0	1	1	0	1	3	0	2	0	1	0	0	1	0
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	2	0
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	0	4	0	3	1	0	0	0	4	0	0	0	4	0	0	0	0	6	0	0	1	0	1	0	0	0	0	1	2	1	1	0
2-keto-3-deoxy-L-fuconate dehydrogenase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-ketocyclohexanecarboxyl-CoA hydrolase (EC 4.1.3.36)	Anaerobic_benzoate_metabolism	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	Xylose_utilization	Carbohydrates	Monosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2-methyl-6-phytyl-1,4-benzoquinone cyclase	Tocopherol_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylaconitate racemase	2-methylcitrate_to_2-methylaconitate_metabolism_cluster	Carbohydrates	Organic acids	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate dehydratase (EC 4.2.1.79)	Methylcitrate_cycle	Carbohydrates	Organic acids	0	5	1	0	1	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	1	2	2	4	0	0	0	0	12	0
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	Methylcitrate_cycle	Carbohydrates	Organic acids	0	0	0	0	0	0	0	0	0	1	1	0	0	0	18	4	0	0	1	0	2	0	4	2	3	2	0	0	0	5	0	0
2-methylcitrate synthase (EC 2.3.3.5)	Methylcitrate_cycle	Carbohydrates	Organic acids	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	7	0	5	0	1	2	0	11	0	8	4	0	2	0	0	1	0
2-methylisocitrate dehydratase (EC 4.2.1.99)	Methylcitrate_cycle	Carbohydrates	Organic acids	3	1	2	6	0	0	0	0	0	0	4	0	0	0	0	12	0	7	4	1	7	0	0	0	1	1	0	0	0	3	7	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	CBSS-87626.3.peg.3639	""	Clustering-based subsystems	0	0	0	3	0	0	3	0	1	0	0	0	2	0	0	5	0	4	0	0	0	0	1	0	1	0	0	0	3	2	0	0
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	CBSS-87626.3.peg.3639	""	Clustering-based subsystems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	Dehydrogenase_complexes	Carbohydrates	Central carbohydrate metabolism	3	0	1	10	0	0	2	0	14	0	0	0	1	0	1	34	0	24	0	0	1	6	0	5	0	5	0	0	2	0	15	1
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	TCA_Cycle	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	19	0	0	1	0	0	3	0	0	0	0	0	4	0	5	3	0	0	21	0	19	0	0	0	0	3	0	0
2-oxoglutarate/malate translocator	Photorespiration_(oxidative_C2_cycle)	Carbohydrates	CO2 fixation	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	0	4	0	0
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	Menaquinone_and_Phylloquinone_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	Menaquinone_and_Phylloquinone_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21 kDa hemolysin precursor	CBSS-160492.1.peg.550	""	Clustering-based subsystems	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	rRNA_modification_Bacteria	RNA Metabolism	RNA processing and modification	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	7	0
